number,origin kanji,kanji,reading,particle_before,particle_after,meaning,usefulness,components,labels,description
395,来,来年,らいねん,,,next year,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/394-comefuture-%E6%9D%A5"">来</a> (come/future) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1572-year-%E5%B9%B4"">年</a> (year)
 = 来年 (next year)",,
395,来,出来る,できる,は or が,,possible,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1024-pull-out-hand-over-%E5%87%BA"">出</a> (pull out / hand over) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/394-comefuture-%E6%9D%A5"">来</a> (come/future)
 = 出来る (possible)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/31"" title=""in practice, this word written in hiragana or katakana, not in kanji form, half the time."">1/2 KANA</a>","<p>it's possible to do.(I can run, I can shit, but I can't run and shit at the same time.)</p>"
395,来,以来,いらい,,,since then,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1721-compared-to-%E4%BB%A5"">以</a> (compared to) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/394-comefuture-%E6%9D%A5"">来</a> (come/future)
 = 以来 (since then)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/16"" title=""(newspaper word) These words are only HEARD or READ, but they’re not SAID."">NP</a>",
395,来,将来,しょうらい,,,one's future,★★★☆☆,,,"<p>a specific person's future (i.e. the dumb interview question, ""What do you see yourself doing 10 years from now?"") Also sometimes used with Japan's future.</p>"
396,番,番号,ばんごう,,,number,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/395-number-%E7%95%AA"">番</a> (number) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/656-id-number-%E5%8F%B7"">号</a> (ID number)
 = 番号 (number)",,"<p>number which has been assigned to a thing, as in phone number or apartment number, or ZIP code number.</p>"
396,番,交番,こうばん,,,police box,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1009-combine-%E4%BA%A4"">交</a> (combine) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/395-number-%E7%95%AA"">番</a> (number)
 = 交番 (police box)",,<p>police box - a small shop in your neighborhood where police hang out and wait to help you or jail you.</p>
398,大,大変,たいへん,,な,that's terrible!,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/397-big-%E5%A4%A7"">大</a> (big) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/904-change-%E5%A4%89"">変</a> (change)
 = 大変 (that's terrible!)",,"<p>this has 2 meanings, both used equally often:</p> <p>
""Tony is tai hen!"" , for instance, could mean:
</p> <p>
a) I feel sorry for Tony because his job sucks and his girl is cheating.
</p> <p>
b) Tony is a really scary, mean person.　


</p>"
398,大,大事,だいじ,,な,vital,★★★★☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/397-big-%E5%A4%A7"">大</a> (big) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1660-action-incident-%E4%BA%8B"">事</a> (action/ incident)
 = 大事 (vital)",,"<p>vital, important.
Can also be used as a sort of goodbye - but only in cases where you're sort of worried about the person. Like if they're coming down with a cold, you'd say, ""お大事に！”　instead of ”またね！”</p>"
398,大,大家,おおや,,さん,landlord,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/397-big-%E5%A4%A7"">大</a> (big) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1223-home-%E5%AE%B6"">家</a> (home)
 = 大家 (landlord)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/8"" title=""FP stands for FUCKED PRONUNCIATION – the Japanese equivalent of English’s silent ‘p’ in ‘psychology’"">FP</a>",
398,大,大型,おおがた,,の,large-scale,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/397-big-%E5%A4%A7"">大</a> (big) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1191-type-proper-way-%E5%9E%8B"">型</a> (type / proper way)
 = 大型 (large-scale
)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/13"" title=""Jukugo which don’t have okurigana generally use the ON-yomi."">KUNKUN</a>",
406,央,中央,ちゅうおう,,,central,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/489-middle-%E4%B8%AD"">中</a> (middle) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/405-central-%E5%A4%AE"">央</a> (central)
 = 中央 (central)",,<p>central. Tokyo has a famous train line: 中央線、(the central line).</p>
407,映,映画,えいが,,,movie,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/406-project-reflect-%E6%98%A0"">映</a> (project, reflect) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1039-a-drawing-%E7%94%BB"">画</a> (a drawing)
 = 映画 (movie)",,
407,映,映画館,えいがかん,,,movie theater,★★★★☆,"<a href=""http://www.kanjidamage.com/kanji/406-project-reflect-%E6%98%A0"">映</a><a href=""http://www.kanjidamage.com/kanji/1039-a-drawing-%E7%94%BB"">画</a> (movie) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1614-big-hall-%E9%A4%A8"">館</a> (big hall)
 = 映画館 (movie theater)",,
407,映,映像,えいぞう,,,image,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/406-project-reflect-%E6%98%A0"">映</a> (project, reflect) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1221-statue-image-%E5%83%8F"">像</a> (statue / image)
 = 映像 (image)",,"<p>any reflected, moving image - including images on TV or a computer screen, a shadow play, etc. 　</p>"
409,犬,子犬,こいぬ,,,puppy,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/5-child-%E5%AD%90"">子</a> (child) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/408-dog-%E7%8A%AC"">犬</a> (dog)
 = 子犬 (puppy)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/13"" title=""Jukugo which don’t have okurigana generally use the ON-yomi."">KUNKUN</a>",
409,犬,負け犬,まけいぬ,,,loser,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/559-lose-%E8%B2%A0"">負</a> (lose) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/408-dog-%E7%8A%AC"">犬</a> (dog)
 = 負け犬 (loser)",,"<p>Since it literally means 'losing dog,' you'd think that was a transliteration of the English 'underdog,' But no, it simply means loser or schlemiel. Japan doesn't really have much respect for plucky underdogs who dare to try and rise above their status.</p>"
412,然,全然,ぜんぜん,,,absolutely!,★★★★☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/919-all-%E5%85%A8"">全</a> (all) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/411-nature-%E7%84%B6"">然</a> (nature)
 = 全然 (absolutely! )","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/31"" title=""in practice, this word written in hiragana or katakana, not in kanji form, half the time."">1/2 KANA</a>","<p>absolutely! (usually used to emphasize the word after it. But sometimes, the word being emphasized is omitted because it's so obvious (to Japanese)) </p> <p>
If you hear someone say 'Zenzen!' with no word after it, it might mean 'zenzen daijoubu,'   ('Absolutely no problemo.') . . .</p> <p>
OR it might mean 'zen zen dame!' ('No effing way, guy!')</p>"
412,然,自然,しぜん,,,nature,★★★★☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/78-my-own-%E8%87%AA"">自</a> (my own) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/411-nature-%E7%84%B6"">然</a> (nature)
 = 自然 (nature)",,
412,然,当然,とうぜん,,の,"natural, obvious",★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/634-hit-the-target-%E5%BD%93"">当</a> (hit the target) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/411-nature-%E7%84%B6"">然</a> (nature)
 = 当然 (natural, obvious)",,"<p>just, natural, deserved - although it's often used like 'That's obvious, isn't it?'</p>"
414,太,太平洋,たいへいよう,,,the Pacific Ocean,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/413-fat-%E5%A4%AA"">太</a> (fat) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/187-equal-level-%E5%B9%B3"">平</a> (equal / level) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/872-pacific-ocean-the-west-%E6%B4%8B"">洋</a> (Pacific Ocean / the West)
 = 太平洋 (the Pacific Ocean)",,
414,太,太鼓,たいこ,,,Japanese drums,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/413-fat-%E5%A4%AA"">太</a> (fat) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1322-drum-%E9%BC%93"">鼓</a> (drum)
 = 太鼓 (Japanese drums)",,<p>traditional Japanese drums - the kind that can be up to 15 feet wide. (BOOBOO: Rock and roll drums are just called ドラム.)</p>
434,回,今回,こんかい,,,this time,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/943-now-%E4%BB%8A"">今</a> (now) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/437-rotate-times-%E5%9B%9E"">回</a> (rotate / times)
 = 今回 (this time)",,
434,回,毎回,まいかい,,,every time,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/484-every-%E6%AF%8E"">毎</a> (every) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/437-rotate-times-%E5%9B%9E"">回</a> (rotate / times)
 = 毎回 (every time)",,"<p>every time. Every single fucking time. Jesus! Get it together, man. Sometimes I don't know what goes on in your head.</p>"
434,回,一回,いっかい,,,one time,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1-one-line-radical-%E4%B8%80"">一</a> (one) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/437-rotate-times-%E5%9B%9E"">回</a> (rotate / times)
 = 一回 (one time)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/38"" title=""One of the more psycho things about Japanese is that EVERY OBJECT EVER uses ENTIRELY DIFFERENT WORDS for counting itself."">COUNTER</a>",
434,回,前回,ぜんかい,,,last time,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/865-before-%E5%89%8D"">前</a> (before) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/437-rotate-times-%E5%9B%9E"">回</a> (rotate / times)
 = 前回 (last time)",,"<p>last time (last time, this happened, last time we met). although in practice people tend to use the more irritating and ambiguous 'この 前.' (back then)</p>"
437,井,井戸,いど,,,a well,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/441-well-%E4%BA%95"">井</a> (well) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/505-door-%E6%88%B8"">戸</a> (door)
 = 井戸 (a well)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/8"" title=""FP stands for FUCKED PRONUNCIATION – the Japanese equivalent of English’s silent ‘p’ in ‘psychology’"">FP</a>",
437,井,天井,てんじょう,,,ceiling,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/880-heaven-%E5%A4%A9"">天</a> (heaven) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/441-well-%E4%BA%95"">井</a> (well)
 = 天井 (ceiling)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/13"" title=""Jukugo which don’t have okurigana generally use the ON-yomi."">KUNKUN</a>",
439,丼,丼,どん,XXX,,beef-bowl,★★★☆☆,,"<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/37"" title=""Suffix"">SUF</a>",<p>SUFFIX meaning ‘bowl of hot rice and sweet sauce with a painfully stingy amount of XXXX on top' (XXX is usually beef or pork)</p>
439,丼,牛丼,ぎゅうどん,,,beef bowl,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1194-cow-%E7%89%9B"">牛</a> (cow) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/443-beef-bowl-%E4%B8%BC"">丼</a> (beef bowl)
 = 牛丼 (beef bowl)",,<p>beef bowl (beef over rice).</p>
440,王,女王様,じょおうさま,,,queen,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/6-woman-%E5%A5%B3"">女</a> (woman) + <a href=""http://www.kanjidamage.com/kanji/444-king-%E7%8E%8B"">王</a><a href=""http://www.kanjidamage.com/kanji/879-important-person-%E6%A7%98"">様</a> (king)
 = 女王様 (queen)",,
440,王,王様,おうさま,,,king,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/444-king-%E7%8E%8B"">王</a> (king) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/879-important-person-%E6%A7%98"">様</a> (important person)
 = 王様 (king)",,
440,王,法王,ほうおう,,,the fuckin' Pope,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1258-law-%E6%B3%95"">法</a> (law) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/444-king-%E7%8E%8B"">王</a> (king)
 = 法王 (the fuckin' Pope)",,
441,玉,金玉,きんたま,,,balls,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/909-gold-%E9%87%91"">金</a> (gold) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/452-ball-%E7%8E%89"">玉</a> (ball)
 = 金玉 (balls)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/36"" title=""'KUN ON' words are jukugo which mix kun and on yomi. "">KUN ON</a>",<p>your mama's big hairy balls</p>
441,玉,玉子,たまご,,,Egg.,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/452-ball-%E7%8E%89"">玉</a> (ball) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/5-child-%E5%AD%90"">子</a> (child)
 = 玉子 (Egg.)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/13"" title=""Jukugo which don’t have okurigana generally use the ON-yomi."">KUNKUN</a>",
441,玉,目玉,めだま,,,the eyeball,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/76-eye-%E7%9B%AE"">目</a> (eye) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/452-ball-%E7%8E%89"">玉</a> (ball)
 = 目玉 (the eyeball)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/13"" title=""Jukugo which don’t have okurigana generally use the ON-yomi."">KUNKUN</a> <a class=""label label-info"" href=""http://www.kanjidamage.com/tags/15"" title=""a NEOLOGISM. For instance, wheel-chair became 車椅子　（car-chair), and space-ship became 宇宙船 (universe vessel)."">NEO</a>",
442,国,中国,ちゅうごく,,,China,★★★★☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/489-middle-%E4%B8%AD"">中</a> (middle) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/438-country-%E5%9B%BD"">国</a> (country)
 = 中国 (China)",,"<p>China (think, 'the Middle Kingdom')</p>"
442,国,国際的,こくさいてき,,な,international,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/438-country-%E5%9B%BD"">国</a> (country) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1181-edge-%E9%9A%9B"">際</a> (edge) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1430-motivation-al-%E7%9A%84"">的</a> (motivation / '-al')
 = 国際的 (international)",,<p>international. As in a certain House of Pancakes (also used to refer to a couple where one person is a foreigner: こくさいてきな カップル.)</p>
442,国,国民,こくみん,,,people of a country,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/438-country-%E5%9B%BD"">国</a> (country) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1165-folk-%E6%B0%91"">民</a> (folk)
 = 国民 (people of a country)",,"<p>the people, as in, ""The Republicans are the People's party!""</p>"
442,国,天国,てんごく,,,heaven,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/880-heaven-%E5%A4%A9"">天</a> (heaven) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/438-country-%E5%9B%BD"">国</a> (country)
 = 天国 (heaven)",,
442,国,全国,ぜんこく,,,nationwide,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/919-all-%E5%85%A8"">全</a> (all) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/438-country-%E5%9B%BD"">国</a> (country)
 = 全国 (nationwide)",,"<p>nationwide,national (as in a national contest)</p>"
444,理,理由,りゆう,,,reason,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/445-reason-%E7%90%86"">理</a> (reason) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1374-freedom-reason-%E7%94%B1"">由</a> (freedom / reason)
 = 理由 (reason)",,<p>reason (for doing something)</p>
444,理,理解,りかい,,する,"comprehend, understand.",★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/445-reason-%E7%90%86"">理</a> (reason) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1199-solve-untie-%E8%A7%A3"">解</a> (solve / untie)
 = 理解 (comprehend, understand.)",,
444,理,心理学,しんりがく,,,psychology,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/98-heart-%E5%BF%83"">心</a> (heart) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/445-reason-%E7%90%86"">理</a> (reason) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1624-knowledge-%E5%AD%A6"">学</a> (knowledge)
 = 心理学 (psychology)",,
444,理,地理,ちり,,,geography,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1600-area-%E5%9C%B0"">地</a> (area) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/445-reason-%E7%90%86"">理</a> (reason)
 = 地理 (geography)",,
451,主,主語,しゅご,,,subject,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/454-mastermainly-%E4%B8%BB"">主</a> (master/mainly) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1574-language-%E8%AA%9E"">語</a> (language)
 = 主語 (subject)",,<p>the subject of the sentence. AKA the thing Japanese people never say.</p>
451,主,主義,しゅぎ,XXX,,- ism,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/454-mastermainly-%E4%B8%BB"">主</a> (master/mainly) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/877-righteousness-%E7%BE%A9"">義</a> (righteousness)
 = 主義 (- ism)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/37"" title=""Suffix"">SUF</a>","<p>SUFFIX meaning 'ism'. As in capitalism, communism, materialism, and a Japanese grindcore band called <a href=""http://www.myspace.com/intestinebaalism"">'intestine baalism.' </a></p>"
451,主,共産主義,きょうさんしゅぎ,,,communism,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1548-with-%E5%85%B1"">共</a> (with) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/736-childbirth-production-of-things-%E7%94%A3"">産</a> (childbirth, production of things) + <a href=""http://www.kanjidamage.com/kanji/454-mastermainly-%E4%B8%BB"">主</a><a href=""http://www.kanjidamage.com/kanji/877-righteousness-%E7%BE%A9"">義</a> (- ism)
 = 共産主義 (communism)",,
451,主,無政府主義,むせいふしゅぎ,,,@narchy,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/264-without-%E7%84%A1"">無</a> (without) + <a href=""http://www.kanjidamage.com/kanji/708-politics-%E6%94%BF"">政</a><a href=""http://www.kanjidamage.com/kanji/1129-government-%E5%BA%9C"">府</a> (government) + <a href=""http://www.kanjidamage.com/kanji/454-mastermainly-%E4%B8%BB"">主</a><a href=""http://www.kanjidamage.com/kanji/877-righteousness-%E7%BE%A9"">義</a> (- ism)
 = 無政府主義 (@narchy)",,
451,主,民主主義,みんしゅしゅぎ,,,democracy,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1165-folk-%E6%B0%91"">民</a> (folk) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/454-mastermainly-%E4%B8%BB"">主</a> (master/mainly) + <a href=""http://www.kanjidamage.com/kanji/454-mastermainly-%E4%B8%BB"">主</a><a href=""http://www.kanjidamage.com/kanji/877-righteousness-%E7%BE%A9"">義</a> (- ism)
 = 民主主義 (democracy )",,
451,主,資本主義,しほんしゅぎ,,,capitalism,★★☆☆☆,"<a href=""http://www.kanjidamage.com/kanji/958-capital-as-in-%E8%B3%87"">資</a><a href=""http://www.kanjidamage.com/kanji/338-book-the-real-%E6%9C%AC"">本</a> (capital) + <a href=""http://www.kanjidamage.com/kanji/454-mastermainly-%E4%B8%BB"">主</a><a href=""http://www.kanjidamage.com/kanji/877-righteousness-%E7%BE%A9"">義</a> (- ism)
 = 資本主義 (capitalism)",,
451,主,飼い主,かいぬし,,,pet owner,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/981-keep-a-pet-%E9%A3%BC"">飼</a> (keep a pet) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/454-mastermainly-%E4%B8%BB"">主</a> (master/mainly)
 = 飼い主 (pet owner)",,
451,主,封建主義,ほうけんしゅぎ,,,feudalism,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1275-seal-in-%E5%B0%81"">封</a> (seal in) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1154-build-%E5%BB%BA"">建</a> (build) + <a href=""http://www.kanjidamage.com/kanji/454-mastermainly-%E4%B8%BB"">主</a><a href=""http://www.kanjidamage.com/kanji/877-righteousness-%E7%BE%A9"">義</a> (- ism)
 = 封建主義 (feudalism)",,
451,主,主題歌,しゅだいか,,,theme song,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/454-mastermainly-%E4%B8%BB"">主</a> (master/mainly) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/849-topic-%E9%A1%8C"">題</a> (topic) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/700-sing-%E6%AD%8C"">歌</a> (sing)
 = 主題歌 (theme song)",,
457,住,住所,じゅうしょ,,,address,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/460-dwell-%E4%BD%8F"">住</a> (dwell) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/506-area-attribute-%E6%89%80"">所</a> (area / attribute)
 = 住所 (address)",,
457,住,住民,じゅうみん,,,residents,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/460-dwell-%E4%BD%8F"">住</a> (dwell) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1165-folk-%E6%B0%91"">民</a> (folk)
 = 住民 (residents)",,
457,住,原住民,げんじゅうみん,,,native,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/737-original-high-plain-%E5%8E%9F"">原</a> (original/ high plain) + <a href=""http://www.kanjidamage.com/kanji/460-dwell-%E4%BD%8F"">住</a><a href=""http://www.kanjidamage.com/kanji/1165-folk-%E6%B0%91"">民</a> (residents)
 = 原住民 (native)",,<p>a person or animal native to the area. Indigenous.</p>
463,青,青信号,あおいしんごう,,,green light!,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/466-blue-%E9%9D%92"">青</a> (blue) + <a href=""http://www.kanjidamage.com/kanji/63-believe-%E4%BF%A1"">信</a><a href=""http://www.kanjidamage.com/kanji/656-id-number-%E5%8F%B7"">号</a> (signal)
 = 青信号 (green light!)",,"<p>a blue traffic light - in English we call it a ""green traffic light."" (BOOBOO: In Japan, they call the same blue-greenish color '青い' - so it isn't exactly the English ""Green.""</p>"
463,青,青春,せいしゅん,,,in the prime of one's life.,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/466-blue-%E9%9D%92"">青</a> (blue) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/962-spring-sexy-%E6%98%A5"">春</a> (spring /sexy)
 = 青春 (in the prime of one's life.)",,
467,晴,素晴らしい,すばらしい,,,the best!,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/464-element-%E7%B4%A0"">素</a> (element) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/470-weather-get-good-now-%E6%99%B4"">晴</a> (weather get good now)
 = 素晴らしい (the best!)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/8"" title=""FP stands for FUCKED PRONUNCIATION – the Japanese equivalent of English’s silent ‘p’ in ‘psychology’"">FP</a>",<p> the best! Usually used about art or theatrical performances.</p>
470,生,先生,せんせい,,,teacher,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/810-earlier-the-tip-%E5%85%88"">先</a> (earlier/ the tip) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/473-life-birth-%E7%94%9F"">生</a> (life / birth)
 = 先生 (teacher)",,
470,生,学生,がくせい,,,student,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1624-knowledge-%E5%AD%A6"">学</a> (knowledge) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/473-life-birth-%E7%94%9F"">生</a> (life / birth)
 = 学生 (student)",,
470,生,生,なま,,XXX,live and direct.,★★★☆☆,,"<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/35"" title=""Prefix"">PRE</a>","<p>this is hard. It got tons of meanings: nama tv is live, not prerecorded. Nama beer is poured straight from the bottle, not like a fancy mixed drink. Nama information is first hand. Nama meat is raw.</p>"
470,生,生き物,いきもの,,,living thing,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/473-life-birth-%E7%94%9F"">生</a> (life / birth) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1201-animal-thing-%E7%89%A9"">物</a> (animal / thing)
 = 生き物 (living thing)",,"<p>living, moving thing . . . (BOOBOO：it doesn't apply to plants! Only little dudes that can move around and forage for food are いきもの)</p>"
471,星,惑星,わくせい,,,planet.,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/668-be-misguided-or-tempted-%E6%83%91"">惑</a> (be misguided or tempted) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/474-star-%E6%98%9F"">星</a> (star)
 = 惑星 (planet.)",,
471,星,衛星,えいせい,,,satellite,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1579-defense-%E8%A1%9B"">衛</a> (defense) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/474-star-%E6%98%9F"">星</a> (star)
 = 衛星 (satellite)",,
471,星,図星,ずぼし,,,bullseye.,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1587-diagram-map-%E5%9B%B3"">図</a> (diagram/ map) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/474-star-%E6%98%9F"">星</a> (star)
 = 図星 (bullseye.)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/36"" title=""'KUN ON' words are jukugo which mix kun and on yomi. "">KUN ON</a>",
478,乙,乙女,おとめ,,,"pure, virginal girl",★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/480-second-rank-girl-%E4%B9%99"">乙</a> (second rank / girl) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/6-woman-%E5%A5%B3"">女</a> (woman)
 = 乙女 (pure, virginal girl)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/9"" title=""FR is short for FUCKED ROOTS. They say that kanji are ‘windows into the past,’ meaning that since they look like the things they depict, we can see the values of the ancient society that made them."">FR</a>","<p>a  girl. Unlike the related term 少女,　乙女 emphasizes the ""pure, virginal"" aspect of  girlhood - used about girls around 12-19 years old.</p>"
480,母,お母さん,おかあさん,,,mama!,★★★★★,,"<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/64"" title=""These words, while common, are baby-talk, so don't use them at work unless you work at some &quot;adult baby role-play&quot; place like my friend owns."">KIDS</a>",
